Date,ZLFund BMF
8/31/2018,135.50
9/1/2018,135.51
9/2/2018,135.52
9/3/2018,135.53
9/4/2018,135.53
9/5/2018,135.54
9/6/2018,135.55
9/7/2018,135.56
9/8/2018,135.57
9/9/2018,135.58
9/10/2018,135.59
9/11/2018,135.60
9/12/2018,135.61
9/13/2018,135.62
9/14/2018,135.63
9/15/2018,135.64
9/16/2018,135.64
9/17/2018,135.65
9/18/2018,135.66
9/19/2018,135.67
9/20/2018,135.68
9/21/2018,135.69
9/22/2018,135.71
9/23/2018,135.73
9/24/2018,135.77
9/25/2018,135.80
9/26/2018,135.82
9/27/2018,135.84
9/28/2018,135.86
9/29/2018,135.88
9/30/2018,135.90
10/1/2018,135.93
10/2/2018,135.95
10/3/2018,135.97
10/4/2018,135.99
10/5/2018,136.01
10/6/2018,136.03
10/7/2018,136.05
10/8/2018,136.07
10/9/2018,136.09
10/10/2018,136.11
10/11/2018,136.13
10/12/2018,136.15
10/13/2018,136.17
10/14/2018,136.19
10/15/2018,136.21
10/16/2018,136.23
10/17/2018,136.26
10/18/2018,136.28
10/19/2018,136.30
10/20/2018,136.32
10/21/2018,136.33
10/22/2018,136.35
10/23/2018,136.37
10/24/2018,136.39
10/25/2018,136.40
10/26/2018,136.42
10/27/2018,136.44
10/28/2018,136.45
10/29/2018,136.47
10/30/2018,136.48
10/31/2018,136.49
11/1/2018,136.51
11/2/2018,136.52
11/3/2018,136.54
11/4/2018,136.55
11/5/2018,136.57
11/6/2018,136.58
11/7/2018,136.58
11/8/2018,136.58
11/18/2018,136.59
11/19/2018,136.60
11/20/2018,136.61
11/21/2018,136.62
11/22/2018,136.62
11/23/2018,136.63
11/24/2018,136.63
11/25/2018,136.64
11/26/2018,136.65
11/27/2018,136.65
11/28/2018,136.66
11/29/2018,136.66
11/30/2018,136.67
12/1/2018,136.67
12/6/2018,136.70
12/7/2018,136.70
12/8/2018,136.71
12/9/2018,136.71
12/10/2018,136.72
12/11/2018,136.72
12/12/2018,136.73
12/13/2018,136.73
12/14/2018,136.73
12/15/2018,136.74
12/16/2018,136.74
12/17/2018,136.75
12/18/2018,136.75
12/19/2018,136.76
12/20/2018,136.76
12/21/2018,136.76
12/22/2018,136.77
12/23/2018,136.77
12/24/2018,136.78
12/25/2018,136.78
12/26/2018,136.79
12/27/2018,136.80
12/28/2018,136.80
12/29/2018,136.81
12/30/2018,136.81
12/31/2018,136.82
1/1/2019,136.83
1/2/2019,136.84
1/3/2019,136.85
1/4/2019,136.87
1/5/2019,136.89
1/6/2019,136.90
1/7/2019,136.92
1/8/2019,136.93
1/9/2019,136.94
1/10/2019,136.95
1/11/2019,136.96
1/12/2019,136.97
1/13/2019,136.97
1/14/2019,136.98
1/15/2019,136.99
1/16/2019,136.99
1/17/2019,137.00
1/18/2019,137.01
1/27/2019,137.48
1/28/2019,137.51
1/29/2019,137.53
1/30/2019,137.57
1/31/2019,137.59
2/1/2019,137.59
2/7/2019,137.59
2/8/2019,137.62
2/9/2019,137.65
2/10/2019,137.69
2/11/2019,137.73
2/12/2019,137.77
2/13/2019,137.80
2/14/2019,137.83
2/15/2019,137.85
2/16/2019,137.87
2/17/2019,137.90
2/18/2019,137.93
2/19/2019,137.96
2/20/2019,137.99
2/21/2019,138.02
2/22/2019,138.04
2/23/2019,138.07
2/24/2019,138.09
2/25/2019,138.11
2/26/2019,138.13
2/27/2019,138.15
2/28/2019,138.17
3/1/2019,138.19
3/2/2019,138.20
3/3/2019,138.22
3/4/2019,138.24
3/5/2019,138.26
3/6/2019,138.27
3/7/2019,138.29
3/8/2019,138.30
3/9/2019,138.32
3/10/2019,138.34
3/11/2019,138.35
3/12/2019,138.37
3/13/2019,138.38
3/14/2019,138.40
3/15/2019,138.41
3/16/2019,138.42
3/17/2019,138.44
3/18/2019,138.45
3/19/2019,138.46
3/20/2019,138.48
3/21/2019,138.50
3/22/2019,138.54
3/23/2019,138.58
3/24/2019,138.61
3/25/2019,138.64
3/26/2019,138.66
3/27/2019,138.69
3/28/2019,138.73
3/29/2019,138.76
3/30/2019,138.80
3/31/2019,138.83
4/1/2019,138.85
4/2/2019,138.87
4/3/2019,138.89
4/4/2019,138.92
4/5/2019,138.95
4/6/2019,138.98
4/7/2019,139.01
4/8/2019,139.06
4/9/2019,139.10
4/10/2019,139.15
4/11/2019,139.19
4/12/2019,139.23
4/13/2019,139.25
4/14/2019,139.27
4/15/2019,139.29
4/16/2019,139.30
4/17/2019,139.33
4/18/2019,139.35
4/19/2019,139.38
4/20/2019,139.40
4/21/2019,139.43
4/22/2019,139.46
4/23/2019,139.48
4/24/2019,139.51
4/25/2019,139.53
4/26/2019,139.56
4/27/2019,139.58
4/28/2019,139.61
4/29/2019,139.63
4/30/2019,139.66
5/1/2019,139.68
5/2/2019,139.71
5/3/2019,139.75
5/4/2019,139.79
5/5/2019,139.84
