Date,Price
2019-03-28,138.73
2019-03-29,138.76
2019-03-30,138.80
2019-03-31,138.83
2019-04-01,138.85
2019-04-02,138.87
2019-04-03,138.89
2019-04-04,138.92
2019-04-05,138.95
2019-04-06,138.98
2019-04-07,139.01
2019-04-08,139.06
2019-04-09,139.10
2019-04-10,139.15
2019-04-11,139.19
2019-04-12,139.23
2019-04-13,139.25
2019-04-14,139.27
2019-04-15,139.29
2019-04-16,139.30
2019-04-17,139.33
2019-04-18,139.35
2019-04-19,139.38
2019-04-20,139.40
2019-04-21,139.43
2019-04-22,139.46
2019-04-23,139.48
2019-04-24,139.51
2019-04-25,139.53
2019-04-26,139.56
2019-04-27,139.58
2019-04-28,139.61
2019-04-29,139.63
2019-04-30,139.66
2019-05-01,139.68
2019-05-02,139.71
2019-05-03,139.75
2019-05-04,139.79
2019-05-05,139.84
2019-05-06,139.89
2019-05-07,139.95
2019-05-08,140.00
2019-05-09,140.05
2019-05-10,140.14
2019-05-11,140.24
2019-05-12,140.31
2019-05-13,140.38
2019-05-14,140.45
2019-05-15,140.53
2019-05-16,140.61
2019-05-17,140.69
2019-05-18,140.77
2019-05-19,140.86
2019-05-20,140.96
2019-05-21,141.06
2019-05-22,141.16
2019-05-23,141.24
2019-05-24,141.33
2019-05-25,141.41
2019-05-26,141.50
2019-05-27,141.58
2019-05-28,141.67
2019-05-29,141.75
2019-05-30,141.83
2019-05-31,141.91
2019-06-01,141.99
2019-06-02,142.08
2019-06-03,142.16
2019-06-04,142.24
2019-06-05,142.31
2019-06-06,142.37
2019-06-07,142.42
2019-06-08,142.47
2019-06-09,142.52
2019-06-10,142.58
2019-06-11,142.63
2019-06-12,142.69
2019-06-13,142.75
2019-06-14,142.81
2019-06-15,142.87
2019-06-16,142.94
2019-06-17,143.00
2019-06-18,143.07
2019-06-19,143.13
2019-06-20,143.19
2019-06-21,143.25
2019-06-22,143.31
2019-06-23,143.37
2019-06-24,143.47
2019-06-25,143.57
2019-06-26,143.65
2019-06-27,143.74
2019-06-28,143.83
2019-06-29,143.92
2019-06-30,144.01
2019-07-01,144.09
2019-07-02,144.17
2019-07-03,144.26
2019-07-04,144.34
2019-07-05,144.42
2019-07-06,144.51
2019-07-07,144.59
2019-07-08,144.67
2019-07-09,144.75
2019-07-10,144.84
2019-07-11,144.92
2019-07-12,144.99
2019-07-13,145.07
2019-07-14,145.15
2019-07-15,145.23
2019-07-16,145.31
2019-07-17,145.38
2019-07-18,145.46
2019-07-19,145.52
2019-07-20,145.57
2019-07-21,145.58
2019-07-22,145.59
2019-07-23,145.66
2019-07-24,145.72
2019-07-25,145.76
2019-07-26,145.81
2019-07-27,145.84
2019-07-28,145.88
2019-07-29,145.92
